"","size","decay","error","sd"
"1",1,0.01,0.699074074074074,0.0539108393629987
"2",2,0.01,0.490740740740741,0.0600068583185913
"3",3,0.01,0.439814814814815,0.0667052357567699
"4",4,0.01,0.356481481481482,0.0689799278969969
"5",5,0.01,0.37962962962963,0.0517194075695146
"6",6,0.01,0.305555555555556,0.065734219812218
"7",7,0.01,0.296296296296296,0.0854665241423283
"8",8,0.01,0.305555555555556,0.086066296582387
"9",9,0.01,0.287037037037037,0.0573775310549247
"10",10,0.01,0.273148148148148,0.0478444840102363
"11",15,0.01,0.263888888888889,0.0719009950308044
"12",20,0.01,0.24537037037037,0.0643501864959039
"13",25,0.01,0.259259259259259,0.0336405594899721
"14",1,0.05,0.699074074074074,0.0509679960908255
"15",2,0.05,0.537037037037037,0.0972883373078792
"16",3,0.05,0.407407407407407,0.163551127154219
"17",4,0.05,0.356481481481482,0.0919887719038503
"18",5,0.05,0.319444444444444,0.0719009950308044
"19",6,0.05,0.300925925925926,0.086810185061735
"20",7,0.05,0.263888888888889,0.0519674637051936
"21",8,0.05,0.291666666666667,0.0627310543924234
"22",9,0.05,0.268518518518519,0.0625257148745709
"23",10,0.05,0.310185185185185,0.04450227718777
"24",15,0.05,0.24537037037037,0.0711819670140095
"25",20,0.05,0.222222222222222,0.0633430791721743
"26",25,0.05,0.236111111111111,0.0800270016160441
"27",1,0.1,0.675925925925926,0.135704229337491
"28",2,0.1,0.449074074074074,0.0619056098164696
"29",3,0.1,0.296296296296296,0.0759033390071081
"30",4,0.1,0.282407407407407,0.0324734776236114
"31",5,0.1,0.328703703703704,0.0643501864959039
"32",6,0.1,0.25,0.0496903994999953
"33",7,0.1,0.291666666666667,0.122663345365665
"34",8,0.1,0.273148148148148,0.0509679960908255
"35",9,0.1,0.25,0.0430331482911935
"36",10,0.1,0.24537037037037,0.0813024126611674
"37",15,0.1,0.259259259259259,0.0759033390071081
"38",20,0.1,0.199074074074074,0.0369211148840313
"39",25,0.1,0.231481481481481,0.0573775310549247
"40",1,0.25,0.736111111111111,0.0421270858002864
"41",2,0.25,0.458333333333333,0.0232405562926132
"42",3,0.25,0.287037037037037,0.0573775310549247
"43",4,0.25,0.305555555555556,0.0912870929175277
"44",5,0.25,0.305555555555556,0.0392837100659193
"45",6,0.25,0.24537037037037,0.0753933443919344
"46",7,0.25,0.263888888888889,0.0740161810804124
"47",8,0.25,0.24537037037037,0.0478444840102364
"48",9,0.25,0.25,0.0175682092231577
"49",10,0.25,0.25,0.0724355822800294
"50",15,0.25,0.226851851851852,0.0539108393629987
"51",20,0.25,0.236111111111111,0.0519674637051936
"52",25,0.25,0.217592592592593,0.0209103514641411
"53",1,0.5,0.740740740740741,0.0453609211626515
"54",2,0.5,0.412037037037037,0.0689799278969969
"55",3,0.5,0.263888888888889,0.0576012259814659
"56",4,0.5,0.25462962962963,0.0667052357567699
"57",5,0.5,0.226851851851852,0.0478444840102363
"58",6,0.5,0.222222222222222,0.0582671582316751
"59",7,0.5,0.231481481481481,0.0890045543755401
"60",8,0.5,0.24537037037037,0.0445022771877701
"61",9,0.5,0.236111111111111,0.0340206908719886
"62",10,0.5,0.222222222222222,0.0248451997499977
"63",15,0.5,0.231481481481481,0.0890045543755401
"64",20,0.5,0.226851851851852,0.0667052357567699
"65",25,0.5,0.208333333333333,0.0576012259814659
"66",1,0.75,0.722222222222222,0.0351364184463153
"67",2,0.75,0.439814814814815,0.0689799278969969
"68",3,0.75,0.296296296296296,0.0286887655274623
"69",4,0.75,0.25462962962963,0.0369211148840313
"70",5,0.75,0.231481481481481,0.0418207029282823
"71",6,0.75,0.240740740740741,0.0817755635771097
"72",7,0.75,0.212962962962963,0.0226804605813257
"73",8,0.75,0.208333333333333,0.0456435464587638
"74",9,0.75,0.25,0.0496903994999953
"75",10,0.75,0.24537037037037,0.0478444840102364
"76",15,0.75,0.236111111111111,0.0519674637051936
"77",20,0.75,0.226851851851852,0.0567011514533143
"78",25,0.75,0.231481481481481,0.0717219138186559
"79",1,1,0.74537037037037,0.0369211148840313
"80",2,1,0.481481481481482,0.0817755635771097
"81",3,1,0.310185185185185,0.104551757320706
"82",4,1,0.240740740740741,0.0336405594899721
"83",5,1,0.273148148148148,0.0567011514533143
"84",6,1,0.25462962962963,0.0689799278969969
"85",7,1,0.24537037037037,0.0539108393629987
"86",8,1,0.231481481481481,0.101935992181651
"87",9,1,0.212962962962963,0.0779099406220838
"88",10,1,0.268518518518519,0.0573775310549247
"89",15,1,0.236111111111111,0.105042613339939
"90",20,1,0.226851851851852,0.0478444840102364
"91",25,1,0.222222222222222,0.0351364184463153
