"","kernel","cost","degree","error","dispersion"
"1","linear",1e-04,1,0.888961038961039,0.0541274630736246
"2","polynomial",1e-04,1,0.888961038961039,0.0541274630736246
"3","radial",1e-04,1,0.893506493506493,0.0492082534236076
"4","sigmoid",1e-04,1,0.888961038961039,0.0541274630736246
"5","linear",0.001,1,0.888961038961039,0.0541274630736246
"6","polynomial",0.001,1,0.888961038961039,0.0541274630736246
"7","radial",0.001,1,0.893506493506493,0.0492082534236076
"8","sigmoid",0.001,1,0.888961038961039,0.0541274630736246
"9","linear",0.01,1,0.235281385281385,0.0805826194029184
"10","polynomial",0.01,1,0.888961038961039,0.0541274630736246
"11","radial",0.01,1,0.893506493506493,0.0492082534236076
"12","sigmoid",0.01,1,0.888961038961039,0.0541274630736246
"13","linear",0.1,1,0.221645021645022,0.0595419535947967
"14","polynomial",0.1,1,0.2495670995671,0.0635907831513055
"15","radial",0.1,1,0.814285714285714,0.0701809207357551
"16","sigmoid",0.1,1,0.277056277056277,0.0621329008415901
"17","linear",1,1,0.217965367965368,0.0562497621309932
"18","polynomial",1,1,0.208008658008658,0.0488861331384539
"19","radial",1,1,0.290909090909091,0.099750964766763
"20","sigmoid",1,1,0.208225108225108,0.0739585751474175
"21","linear",2,1,0.222510822510823,0.054822661533762
"22","polynomial",2,1,0.212121212121212,0.0811102883316979
"23","radial",2,1,0.30995670995671,0.116975717331518
"24","sigmoid",2,1,0.226406926406926,0.0835521511351858
"25","linear",3,1,0.235930735930736,0.0704710848316005
"26","polynomial",3,1,0.231385281385281,0.0699331113550672
"27","radial",3,1,0.300865800865801,0.117832355916846
"28","sigmoid",3,1,0.236580086580087,0.101334513059874
"29","linear",4,1,0.235930735930736,0.0772915540596945
"30","polynomial",4,1,0.222510822510822,0.066876539773217
"31","radial",4,1,0.295887445887446,0.11170010303504
"32","sigmoid",4,1,0.231168831168831,0.0712775525398699
"33","linear",5,1,0.235930735930736,0.0772915540596945
"34","polynomial",5,1,0.203896103896104,0.0683318702808896
"35","radial",5,1,0.286796536796537,0.115378094811456
"36","sigmoid",5,1,0.240909090909091,0.0956746411934206
"37","linear",6,1,0.231385281385281,0.0762162299602034
"38","polynomial",6,1,0.208225108225108,0.0711020566376238
"39","radial",6,1,0.286796536796537,0.115378094811456
"40","sigmoid",6,1,0.25,0.0705615164092667
"41","linear",7,1,0.226839826839827,0.0778271561232094
"42","polynomial",7,1,0.217532467532468,0.0540909047601723
"43","radial",7,1,0.286796536796537,0.115378094811456
"44","sigmoid",7,1,0.254545454545455,0.0670584367105539
"45","linear",8,1,0.236147186147186,0.0804753120439444
"46","polynomial",8,1,0.212987012987013,0.0550822211425714
"47","radial",8,1,0.291341991341991,0.117625419773385
"48","sigmoid",8,1,0.268614718614719,0.0655530160398172
"49","linear",9,1,0.245238095238095,0.0752096588059333
"50","polynomial",9,1,0.203679653679654,0.0552638468866174
"51","radial",9,1,0.291341991341991,0.117625419773385
"52","sigmoid",9,1,0.273160173160173,0.0804452273908325
"53","linear",10,1,0.254761904761905,0.0861403576033905
"54","polynomial",10,1,0.208225108225108,0.055135119432715
"55","radial",10,1,0.296103896103896,0.109486634995941
"56","sigmoid",10,1,0.25,0.0626605826921385
"57","linear",1e-04,2,0.888961038961039,0.0541274630736246
"58","polynomial",1e-04,2,0.907575757575758,0.0368749694610095
"59","radial",1e-04,2,0.893506493506493,0.0492082534236076
"60","sigmoid",1e-04,2,0.888961038961039,0.0541274630736246
"61","linear",0.001,2,0.888961038961039,0.0541274630736246
"62","polynomial",0.001,2,0.907575757575758,0.0368749694610095
"63","radial",0.001,2,0.893506493506493,0.0492082534236076
"64","sigmoid",0.001,2,0.888961038961039,0.0541274630736246
"65","linear",0.01,2,0.235281385281385,0.0805826194029184
"66","polynomial",0.01,2,0.907575757575758,0.0368749694610095
"67","radial",0.01,2,0.893506493506493,0.0492082534236076
"68","sigmoid",0.01,2,0.888961038961039,0.0541274630736246
"69","linear",0.1,2,0.221645021645022,0.0595419535947967
"70","polynomial",0.1,2,0.912121212121212,0.0397703344687649
"71","radial",0.1,2,0.814285714285714,0.0701809207357551
"72","sigmoid",0.1,2,0.277056277056277,0.0621329008415901
"73","linear",1,2,0.217965367965368,0.0562497621309932
"74","polynomial",1,2,0.463636363636364,0.119502824667185
"75","radial",1,2,0.290909090909091,0.099750964766763
"76","sigmoid",1,2,0.208225108225108,0.0739585751474175
"77","linear",2,2,0.222510822510823,0.054822661533762
"78","polynomial",2,2,0.459090909090909,0.132844134519125
"79","radial",2,2,0.30995670995671,0.116975717331518
"80","sigmoid",2,2,0.226406926406926,0.0835521511351858
"81","linear",3,2,0.235930735930736,0.0704710848316005
"82","polynomial",3,2,0.440476190476191,0.126607445049646
"83","radial",3,2,0.300865800865801,0.117832355916846
"84","sigmoid",3,2,0.236580086580087,0.101334513059874
"85","linear",4,2,0.235930735930736,0.0772915540596945
"86","polynomial",4,2,0.435930735930736,0.132517509364472
"87","radial",4,2,0.295887445887446,0.11170010303504
"88","sigmoid",4,2,0.231168831168831,0.0712775525398699
"89","linear",5,2,0.235930735930736,0.0772915540596945
"90","polynomial",5,2,0.435714285714286,0.12547497054451
"91","radial",5,2,0.286796536796537,0.115378094811456
"92","sigmoid",5,2,0.240909090909091,0.0956746411934206
"93","linear",6,2,0.231385281385281,0.0762162299602034
"94","polynomial",6,2,0.445021645021645,0.121376065862195
"95","radial",6,2,0.286796536796537,0.115378094811456
"96","sigmoid",6,2,0.25,0.0705615164092667
"97","linear",7,2,0.226839826839827,0.0778271561232094
"98","polynomial",7,2,0.44025974025974,0.125226422160812
"99","radial",7,2,0.286796536796537,0.115378094811456
"100","sigmoid",7,2,0.254545454545455,0.0670584367105539
"101","linear",8,2,0.236147186147186,0.0804753120439444
"102","polynomial",8,2,0.426406926406926,0.118127979674272
"103","radial",8,2,0.291341991341991,0.117625419773385
"104","sigmoid",8,2,0.268614718614719,0.0655530160398172
"105","linear",9,2,0.245238095238095,0.0752096588059333
"106","polynomial",9,2,0.44025974025974,0.106211179938923
"107","radial",9,2,0.291341991341991,0.117625419773385
"108","sigmoid",9,2,0.273160173160173,0.0804452273908325
"109","linear",10,2,0.254761904761905,0.0861403576033905
"110","polynomial",10,2,0.444805194805195,0.103505810527815
"111","radial",10,2,0.296103896103896,0.109486634995941
"112","sigmoid",10,2,0.25,0.0626605826921385
"113","linear",1e-04,3,0.888961038961039,0.0541274630736246
"114","polynomial",1e-04,3,0.916666666666667,0.0195005508683111
"115","radial",1e-04,3,0.893506493506493,0.0492082534236076
"116","sigmoid",1e-04,3,0.888961038961039,0.0541274630736246
"117","linear",0.001,3,0.888961038961039,0.0541274630736246
"118","polynomial",0.001,3,0.916666666666667,0.0195005508683111
"119","radial",0.001,3,0.893506493506493,0.0492082534236076
"120","sigmoid",0.001,3,0.888961038961039,0.0541274630736246
"121","linear",0.01,3,0.235281385281385,0.0805826194029184
"122","polynomial",0.01,3,0.916666666666667,0.0195005508683111
"123","radial",0.01,3,0.893506493506493,0.0492082534236076
"124","sigmoid",0.01,3,0.888961038961039,0.0541274630736246
"125","linear",0.1,3,0.221645021645022,0.0595419535947967
"126","polynomial",0.1,3,0.897619047619048,0.049516715940507
"127","radial",0.1,3,0.814285714285714,0.0701809207357551
"128","sigmoid",0.1,3,0.277056277056277,0.0621329008415901
"129","linear",1,3,0.217965367965368,0.0562497621309932
"130","polynomial",1,3,0.36991341991342,0.0993758227116807
"131","radial",1,3,0.290909090909091,0.099750964766763
"132","sigmoid",1,3,0.208225108225108,0.0739585751474175
"133","linear",2,3,0.222510822510823,0.054822661533762
"134","polynomial",2,3,0.342424242424242,0.0762937120348405
"135","radial",2,3,0.30995670995671,0.116975717331518
"136","sigmoid",2,3,0.226406926406926,0.0835521511351858
"137","linear",3,3,0.235930735930736,0.0704710848316005
"138","polynomial",3,3,0.323376623376623,0.0819797555116744
"139","radial",3,3,0.300865800865801,0.117832355916846
"140","sigmoid",3,3,0.236580086580087,0.101334513059874
"141","linear",4,3,0.235930735930736,0.0772915540596945
"142","polynomial",4,3,0.327922077922078,0.0861596936688101
"143","radial",4,3,0.295887445887446,0.11170010303504
"144","sigmoid",4,3,0.231168831168831,0.0712775525398699
"145","linear",5,3,0.235930735930736,0.0772915540596945
"146","polynomial",5,3,0.337012987012987,0.0922621427933607
"147","radial",5,3,0.286796536796537,0.115378094811456
"148","sigmoid",5,3,0.240909090909091,0.0956746411934206
"149","linear",6,3,0.231385281385281,0.0762162299602034
"150","polynomial",6,3,0.337229437229437,0.0958635286030253
"151","radial",6,3,0.286796536796537,0.115378094811456
"152","sigmoid",6,3,0.25,0.0705615164092667
"153","linear",7,3,0.226839826839827,0.0778271561232094
"154","polynomial",7,3,0.346536796536797,0.101511074723457
"155","radial",7,3,0.286796536796537,0.115378094811456
"156","sigmoid",7,3,0.254545454545455,0.0670584367105539
"157","linear",8,3,0.236147186147186,0.0804753120439444
"158","polynomial",8,3,0.346536796536797,0.101511074723457
"159","radial",8,3,0.291341991341991,0.117625419773385
"160","sigmoid",8,3,0.268614718614719,0.0655530160398172
"161","linear",9,3,0.245238095238095,0.0752096588059333
"162","polynomial",9,3,0.341991341991342,0.0857888326645156
"163","radial",9,3,0.291341991341991,0.117625419773385
"164","sigmoid",9,3,0.273160173160173,0.0804452273908325
"165","linear",10,3,0.254761904761905,0.0861403576033905
"166","polynomial",10,3,0.346536796536797,0.0855910926422134
"167","radial",10,3,0.296103896103896,0.109486634995941
"168","sigmoid",10,3,0.25,0.0626605826921385
"169","linear",1e-04,4,0.888961038961039,0.0541274630736246
"170","polynomial",1e-04,4,0.921212121212121,0.0225911542560355
"171","radial",1e-04,4,0.893506493506493,0.0492082534236076
"172","sigmoid",1e-04,4,0.888961038961039,0.0541274630736246
"173","linear",0.001,4,0.888961038961039,0.0541274630736246
"174","polynomial",0.001,4,0.921212121212121,0.0225911542560355
"175","radial",0.001,4,0.893506493506493,0.0492082534236076
"176","sigmoid",0.001,4,0.888961038961039,0.0541274630736246
"177","linear",0.01,4,0.235281385281385,0.0805826194029184
"178","polynomial",0.01,4,0.921212121212121,0.0225911542560355
"179","radial",0.01,4,0.893506493506493,0.0492082534236076
"180","sigmoid",0.01,4,0.888961038961039,0.0541274630736246
"181","linear",0.1,4,0.221645021645022,0.0595419535947967
"182","polynomial",0.1,4,0.911904761904762,0.0345274093005513
"183","radial",0.1,4,0.814285714285714,0.0701809207357551
"184","sigmoid",0.1,4,0.277056277056277,0.0621329008415901
"185","linear",1,4,0.217965367965368,0.0562497621309932
"186","polynomial",1,4,0.602380952380952,0.106714078794707
"187","radial",1,4,0.290909090909091,0.099750964766763
"188","sigmoid",1,4,0.208225108225108,0.0739585751474175
"189","linear",2,4,0.222510822510823,0.054822661533762
"190","polynomial",2,4,0.509523809523809,0.120769824526189
"191","radial",2,4,0.30995670995671,0.116975717331518
"192","sigmoid",2,4,0.226406926406926,0.0835521511351858
"193","linear",3,4,0.235930735930736,0.0704710848316005
"194","polynomial",3,4,0.481818181818182,0.129070812610492
"195","radial",3,4,0.300865800865801,0.117832355916846
"196","sigmoid",3,4,0.236580086580087,0.101334513059874
"197","linear",4,4,0.235930735930736,0.0772915540596945
"198","polynomial",4,4,0.463203463203463,0.109725055466669
