"","kernel","cost","degree","error","dispersion"
"1","linear",1e-04,1,0.880735930735931,0.0883916420267321
"2","polynomial",1e-04,1,0.880735930735931,0.0883916420267321
"3","radial",1e-04,1,0.88982683982684,0.0744262179916682
"4","sigmoid",1e-04,1,0.885281385281385,0.0775269228032527
"5","linear",0.001,1,0.880735930735931,0.0883916420267321
"6","polynomial",0.001,1,0.880735930735931,0.0883916420267321
"7","radial",0.001,1,0.88982683982684,0.0744262179916682
"8","sigmoid",0.001,1,0.885281385281385,0.0775269228032527
"9","linear",0.01,1,0.246320346320346,0.0827357181209619
"10","polynomial",0.01,1,0.880735930735931,0.0883916420267321
"11","radial",0.01,1,0.88982683982684,0.0744262179916682
"12","sigmoid",0.01,1,0.885281385281385,0.0775269228032527
"13","linear",0.1,1,0.227056277056277,0.0559100215246148
"14","polynomial",0.1,1,0.269264069264069,0.0924377308562885
"15","radial",0.1,1,0.796753246753247,0.0865045967195271
"16","sigmoid",0.1,1,0.277922077922078,0.0990439442030453
"17","linear",1,1,0.227056277056277,0.0418153086627772
"18","polynomial",1,1,0.236580086580087,0.0433747367768232
"19","radial",1,1,0.311038961038961,0.0787067673121521
"20","sigmoid",1,1,0.217965367965368,0.0253871898945744
"21","linear",2,1,0.236580086580087,0.061340716694446
"22","polynomial",2,1,0.213419913419913,0.0466828251284147
"23","radial",2,1,0.292857142857143,0.0771570726093646
"24","sigmoid",2,1,0.222294372294372,0.0425874930303759
"25","linear",3,1,0.237012987012987,0.0553560819893674
"26","polynomial",3,1,0.217965367965368,0.0454608438340027
"27","radial",3,1,0.311038961038961,0.0723305822743467
"28","sigmoid",3,1,0.217748917748918,0.0578569804540215
"29","linear",4,1,0.246320346320346,0.0579881939308159
"30","polynomial",4,1,0.218181818181818,0.0649895554599384
"31","radial",4,1,0.301948051948052,0.0706794568689605
"32","sigmoid",4,1,0.240692640692641,0.0482359791651112
"33","linear",5,1,0.241341991341991,0.0547509243022383
"34","polynomial",5,1,0.236796536796537,0.0741371394985362
"35","radial",5,1,0.297402597402597,0.0741441607923892
"36","sigmoid",5,1,0.237012987012987,0.0762831354222719
"37","linear",6,1,0.241341991341991,0.0547509243022383
"38","polynomial",6,1,0.222510822510823,0.0544128272984284
"39","radial",6,1,0.292857142857143,0.0771570726093646
"40","sigmoid",6,1,0.218398268398268,0.0694550787382471
"41","linear",7,1,0.245887445887446,0.0463021366480379
"42","polynomial",7,1,0.217965367965368,0.0554481636640893
"43","radial",7,1,0.297402597402597,0.0676689214784844
"44","sigmoid",7,1,0.232683982683983,0.0701842585077335
"45","linear",8,1,0.245887445887446,0.0350087733665034
"46","polynomial",8,1,0.222727272727273,0.0672464218652783
"47","radial",8,1,0.297402597402597,0.0676689214784844
"48","sigmoid",8,1,0.213419913419913,0.0466828251284147
"49","linear",9,1,0.245887445887446,0.0350087733665034
"50","polynomial",9,1,0.213419913419913,0.0564543770985935
"51","radial",9,1,0.301948051948052,0.0601512689389982
"52","sigmoid",9,1,0.228354978354978,0.0763377086537885
"53","linear",10,1,0.241125541125541,0.0391768912441516
"54","polynomial",10,1,0.222510822510822,0.0495666269661207
"55","radial",10,1,0.297402597402597,0.0605046220425755
"56","sigmoid",10,1,0.227922077922078,0.0562960156023904
"57","linear",1e-04,2,0.880735930735931,0.0883916420267321
"58","polynomial",1e-04,2,0.912554112554113,0.0451177425589906
"59","radial",1e-04,2,0.88982683982684,0.0744262179916682
"60","sigmoid",1e-04,2,0.885281385281385,0.0775269228032527
"61","linear",0.001,2,0.880735930735931,0.0883916420267321
"62","polynomial",0.001,2,0.912554112554113,0.0451177425589906
"63","radial",0.001,2,0.88982683982684,0.0744262179916682
"64","sigmoid",0.001,2,0.885281385281385,0.0775269228032527
"65","linear",0.01,2,0.246320346320346,0.0827357181209619
"66","polynomial",0.01,2,0.912554112554113,0.0451177425589906
"67","radial",0.01,2,0.88982683982684,0.0744262179916682
"68","sigmoid",0.01,2,0.885281385281385,0.0775269228032527
"69","linear",0.1,2,0.227056277056277,0.0559100215246148
"70","polynomial",0.1,2,0.912554112554113,0.0451177425589906
"71","radial",0.1,2,0.796753246753247,0.0865045967195271
"72","sigmoid",0.1,2,0.277922077922078,0.0990439442030453
"73","linear",1,2,0.227056277056277,0.0418153086627772
"74","polynomial",1,2,0.455411255411255,0.12931257581097
"75","radial",1,2,0.311038961038961,0.0787067673121521
"76","sigmoid",1,2,0.217965367965368,0.0253871898945744
"77","linear",2,2,0.236580086580087,0.061340716694446
"78","polynomial",2,2,0.441774891774892,0.12754226839785
"79","radial",2,2,0.292857142857143,0.0771570726093646
"80","sigmoid",2,2,0.222294372294372,0.0425874930303759
