"","ntree","mtry","error","dispersion"
"1",10,1,0.434848484848485,0.138938822754832
"2",50,1,0.332683982683983,0.099342291746753
"3",100,1,0.327489177489177,0.139792696537414
"4",250,1,0.332683982683983,0.115548515123001
"5",500,1,0.337012987012987,0.125528892605308
"6",10,2,0.393506493506494,0.118369224541823
"7",50,2,0.337662337662338,0.0974266444582415
"8",100,2,0.309307359307359,0.122125373275678
"9",250,2,0.319480519480519,0.134776643769866
"10",500,2,0.328138528138528,0.101545683787847
"11",10,3,0.411471861471861,0.131888476815256
"12",50,3,0.332900432900433,0.117884474781817
"13",100,3,0.332900432900433,0.119816051584744
"14",250,3,0.341774891774892,0.120512004392911
"15",500,3,0.342207792207792,0.152195442470881
"16",10,4,0.407359307359307,0.120699113667572
"17",50,4,0.36038961038961,0.121534863738996
"18",100,4,0.323376623376623,0.134153353763992
"19",250,4,0.328138528138528,0.146776018018195
"20",500,4,0.328571428571429,0.121789663732312
"21",10,5,0.365151515151515,0.137921991867351
"22",50,5,0.341991341991342,0.132434204058541
"23",100,5,0.356493506493507,0.130190601870464
"24",250,5,0.314285714285714,0.127572263868165
"25",500,5,0.323593073593074,0.110341263970021
"26",10,6,0.403030303030303,0.16189228627794
"27",50,6,0.323809523809524,0.101684002250414
"28",100,6,0.346536796536797,0.133149434657272
"29",250,6,0.328354978354978,0.120872583264664
"30",500,6,0.351298701298701,0.122769872475266
"31",10,7,0.37987012987013,0.0735523895126977
"32",50,7,0.346103896103896,0.150101458177121
"33",100,7,0.346969696969697,0.123968227933421
"34",250,7,0.342207792207792,0.104517790868116
"35",500,7,0.346753246753247,0.132098881220892
"36",10,8,0.416450216450216,0.0865452070194429
"37",50,8,0.355844155844156,0.148661367499368
"38",100,8,0.351731601731602,0.133718241856687
"39",250,8,0.337012987012987,0.145793320696075
"40",500,8,0.360822510822511,0.129041972291459
"41",10,9,0.374675324675325,0.0656244470541032
"42",50,9,0.361471861471861,0.131764285319036
"43",100,9,0.37012987012987,0.122038173368486
"44",250,9,0.351515151515152,0.1348075395463
"45",500,9,0.356060606060606,0.111149756214979
"46",10,10,0.402813852813853,0.162420854104596
"47",50,10,0.389177489177489,0.14647282087525
"48",100,10,0.374891774891775,0.113996200701403
"49",250,10,0.37012987012987,0.122038173368486
"50",500,10,0.356277056277056,0.136091178983061
"51",10,11,0.426623376623377,0.149120253656916
"52",50,11,0.360822510822511,0.108383962300148
"53",100,11,0.365584415584416,0.129875941829227
"54",250,11,0.37012987012987,0.13385345477042
"55",500,11,0.360606060606061,0.139046498905001
"56",10,12,0.365367965367965,0.106086616162591
"57",50,12,0.37987012987013,0.112693932099102
"58",100,12,0.379220779220779,0.127955259396324
"59",250,12,0.37012987012987,0.122038173368486
"60",500,12,0.37965367965368,0.126253143325608
"61",10,13,0.361471861471861,0.11842726117545
"62",50,13,0.388961038961039,0.140849987863483
"63",100,13,0.388744588744589,0.145954442292029
"64",250,13,0.37034632034632,0.118881120176638
"65",500,13,0.37012987012987,0.13724074103386
"66",10,14,0.412337662337662,0.164670586676559
"67",50,14,0.351948051948052,0.13155947905292
"68",100,14,0.360822510822511,0.148828828167607
"69",250,14,0.375108225108225,0.14052067042013
"70",500,14,0.360606060606061,0.128411724678962
"71",10,15,0.403246753246753,0.141348049755727
"72",50,15,0.351515151515152,0.154762157034679
"73",100,15,0.383766233766234,0.106425880990716
"74",250,15,0.374675324675325,0.139410108736284
"75",500,15,0.36991341991342,0.13067511462585
