"","kernel","cost","degree","error","dispersion"
"1","linear",1e-04,1,0.86948051948052,0.142591069429789
"2","polynomial",1e-04,1,0.86948051948052,0.142591069429789
"3","radial",1e-04,1,0.874025974025974,0.128600495853471
"4","sigmoid",1e-04,1,0.864718614718615,0.155617687249329
"5","linear",0.001,1,0.86948051948052,0.142591069429789
"6","polynomial",0.001,1,0.86948051948052,0.142591069429789
"7","radial",0.001,1,0.874025974025974,0.128600495853471
"8","sigmoid",0.001,1,0.864718614718615,0.155617687249329
"9","linear",0.01,1,0.245454545454545,0.0617564158294989
"10","polynomial",0.01,1,0.86948051948052,0.142591069429789
"11","radial",0.01,1,0.874025974025974,0.128600495853471
"12","sigmoid",0.01,1,0.864718614718615,0.155617687249329
"13","linear",0.1,1,0.203679653679654,0.076801371051696
"14","polynomial",0.1,1,0.282251082251082,0.0815532024677328
"15","radial",0.1,1,0.827489177489177,0.134837849145549
"16","sigmoid",0.1,1,0.290692640692641,0.102712159525004
"17","linear",1,1,0.203679653679654,0.0581285150882951
"18","polynomial",1,1,0.18982683982684,0.088100231140552
"19","radial",1,1,0.287445887445887,0.0984619850938184
"20","sigmoid",1,1,0.217532467532468,0.0806807515699119
"21","linear",2,1,0.198917748917749,0.0426534482328976
"22","polynomial",2,1,0.199134199134199,0.0537409075022686
"23","radial",2,1,0.291991341991342,0.0959376229331892
"24","sigmoid",2,1,0.208225108225108,0.0534865181397367
"25","linear",3,1,0.193939393939394,0.0542729704964424
"26","polynomial",3,1,0.212770562770563,0.0649835477174317
"27","radial",3,1,0.287229437229437,0.10492342225196
"28","sigmoid",3,1,0.189393939393939,0.0530609702140406
"29","linear",4,1,0.198051948051948,0.0813937879970937
"30","polynomial",4,1,0.208225108225108,0.0494614925267732
"31","radial",4,1,0.282683982683983,0.111821905180356
"32","sigmoid",4,1,0.212337662337662,0.05532974479232
"33","linear",5,1,0.198051948051948,0.0813937879970937
"34","polynomial",5,1,0.208441558441558,0.0588724251975951
"35","radial",5,1,0.273160173160173,0.104055313319915
"36","sigmoid",5,1,0.18961038961039,0.0662776076502325
"37","linear",6,1,0.188961038961039,0.0708839117309271
"38","polynomial",6,1,0.203679653679654,0.0658935987403433
"39","radial",6,1,0.273160173160173,0.104055313319915
"40","sigmoid",6,1,0.203896103896104,0.05824794679852
"41","linear",7,1,0.202597402597403,0.0870968225804215
"42","polynomial",7,1,0.217316017316017,0.0645103958643736
"43","radial",7,1,0.273160173160173,0.110475873829652
"44","sigmoid",7,1,0.194588744588745,0.103466574436764
"45","linear",8,1,0.202597402597403,0.0870968225804215
