"","kernel","cost","degree","error","dispersion"
"1","linear",1e-04,1,0.87987012987013,0.116554193090044
"2","polynomial",1e-04,1,0.87987012987013,0.116554193090044
"3","radial",1e-04,1,0.893939393939394,0.0958483226863816
"4","sigmoid",1e-04,1,0.87987012987013,0.116554193090044
"5","linear",0.001,1,0.87987012987013,0.116554193090044
"6","polynomial",0.001,1,0.87987012987013,0.116554193090044
"7","radial",0.001,1,0.893939393939394,0.0958483226863816
"8","sigmoid",0.001,1,0.87987012987013,0.116554193090044
"9","linear",0.01,1,0.2495670995671,0.0598719540271
"10","polynomial",0.01,1,0.87987012987013,0.116554193090044
"11","radial",0.01,1,0.893939393939394,0.0958483226863816
"12","sigmoid",0.01,1,0.87987012987013,0.116554193090044
"13","linear",0.1,1,0.216450216450216,0.073003609325489
"14","polynomial",0.1,1,0.269047619047619,0.080634282798904
"15","radial",0.1,1,0.782034632034632,0.143486341581228
"16","sigmoid",0.1,1,0.291774891774892,0.087868006172129
"17","linear",1,1,0.216233766233766,0.108807715138913
"18","polynomial",1,1,0.193506493506494,0.0651207861963394
"19","radial",1,1,0.30952380952381,0.0685463658096024
"20","sigmoid",1,1,0.216450216450216,0.107810654224259
"21","linear",2,1,0.220562770562771,0.124137758360926
"22","polynomial",2,1,0.23961038961039,0.064055693868576
"23","radial",2,1,0.304545454545455,0.0771435778304471
"24","sigmoid",2,1,0.193290043290043,0.0864901529066206
"25","linear",3,1,0.220779220779221,0.118295318555092
"26","polynomial",3,1,0.225541125541126,0.0823952560378912
"27","radial",3,1,0.322727272727273,0.0839824980286839
"28","sigmoid",3,1,0.216666666666667,0.0824877610435611
"29","linear",4,1,0.216233766233766,0.122690980243713
"30","polynomial",4,1,0.216233766233766,0.0928717455114235
"31","radial",4,1,0.313636363636364,0.0783248768246176
"32","sigmoid",4,1,0.221212121212121,0.0745753979344019
"33","linear",5,1,0.216233766233766,0.122690980243713
"34","polynomial",5,1,0.216017316017316,0.102024386026284
"35","radial",5,1,0.304329004329004,0.0794385072892648
"36","sigmoid",5,1,0.216233766233766,0.0936531837998789
"37","linear",6,1,0.220779220779221,0.118295318555092
"38","polynomial",6,1,0.211688311688312,0.103181162063595
"39","radial",6,1,0.318181818181818,0.0906854942822143
"40","sigmoid",6,1,0.216233766233766,0.0807465365512652
"41","linear",7,1,0.220562770562771,0.131326807400349
"42","polynomial",7,1,0.221212121212121,0.0813269263634824
"43","radial",7,1,0.313419913419913,0.0985518222079815
"44","sigmoid",7,1,0.225541125541126,0.0923904141270549
"45","linear",8,1,0.220562770562771,0.134777609370083
"46","polynomial",8,1,0.207142857142857,0.0960655925990775
"47","radial",8,1,0.313419913419913,0.0985518222079815
"48","sigmoid",8,1,0.24004329004329,0.0484690630869094
"49","linear",9,1,0.225108225108225,0.142393610072082
"50","polynomial",9,1,0.207142857142857,0.0936454016951112
"51","radial",9,1,0.313419913419913,0.0985518222079815
"52","sigmoid",9,1,0.24004329004329,0.064697738504646
"53","linear",10,1,0.225324675324675,0.128692148365184
"54","polynomial",10,1,0.211904761904762,0.0934361541328948
"55","radial",10,1,0.313419913419913,0.0985518222079815
"56","sigmoid",10,1,0.2495670995671,0.0469812772357629
"57","linear",1e-04,2,0.87987012987013,0.116554193090044
"58","polynomial",1e-04,2,0.921428571428571,0.0306625074007782
"59","radial",1e-04,2,0.893939393939394,0.0958483226863816
"60","sigmoid",1e-04,2,0.87987012987013,0.116554193090044
"61","linear",0.001,2,0.87987012987013,0.116554193090044
"62","polynomial",0.001,2,0.921428571428571,0.0306625074007782
"63","radial",0.001,2,0.893939393939394,0.0958483226863816
"64","sigmoid",0.001,2,0.87987012987013,0.116554193090044
"65","linear",0.01,2,0.2495670995671,0.0598719540271
"66","polynomial",0.01,2,0.921428571428571,0.0306625074007782
"67","radial",0.01,2,0.893939393939394,0.0958483226863816
"68","sigmoid",0.01,2,0.87987012987013,0.116554193090044
"69","linear",0.1,2,0.216450216450216,0.073003609325489
"70","polynomial",0.1,2,0.916666666666667,0.028972544019136
"71","radial",0.1,2,0.782034632034632,0.143486341581228
"72","sigmoid",0.1,2,0.291774891774892,0.087868006172129
"73","linear",1,2,0.216233766233766,0.108807715138913
"74","polynomial",1,2,0.475541125541126,0.1102600886871
"75","radial",1,2,0.30952380952381,0.0685463658096024
"76","sigmoid",1,2,0.216450216450216,0.107810654224259
"77","linear",2,2,0.220562770562771,0.124137758360926
"78","polynomial",2,2,0.47012987012987,0.130935187037821
"79","radial",2,2,0.304545454545455,0.0771435778304471
"80","sigmoid",2,2,0.193290043290043,0.0864901529066206
"81","linear",3,2,0.220779220779221,0.118295318555092
"82","polynomial",3,2,0.447402597402597,0.107786750520092
"83","radial",3,2,0.322727272727273,0.0839824980286839
"84","sigmoid",3,2,0.216666666666667,0.0824877610435611
"85","linear",4,2,0.216233766233766,0.122690980243713
"86","polynomial",4,2,0.443290043290043,0.100580409496221
"87","radial",4,2,0.313636363636364,0.0783248768246176
"88","sigmoid",4,2,0.221212121212121,0.0745753979344019
"89","linear",5,2,0.216233766233766,0.122690980243713
"90","polynomial",5,2,0.452597402597403,0.106246707768945
"91","radial",5,2,0.304329004329004,0.0794385072892648
"92","sigmoid",5,2,0.216233766233766,0.0936531837998789
"93","linear",6,2,0.220779220779221,0.118295318555092
"94","polynomial",6,2,0.457142857142857,0.109833171142597
"95","radial",6,2,0.318181818181818,0.0906854942822143
"96","sigmoid",6,2,0.216233766233766,0.0807465365512652
"97","linear",7,2,0.220562770562771,0.131326807400349
"98","polynomial",7,2,0.433549783549784,0.1101183606844
"99","radial",7,2,0.313419913419913,0.0985518222079815
"100","sigmoid",7,2,0.225541125541126,0.0923904141270549
"101","linear",8,2,0.220562770562771,0.134777609370083
"102","polynomial",8,2,0.433549783549784,0.118163448878713
"103","radial",8,2,0.313419913419913,0.0985518222079815
"104","sigmoid",8,2,0.24004329004329,0.0484690630869094
"105","linear",9,2,0.225108225108225,0.142393610072082
"106","polynomial",9,2,0.438311688311688,0.114581265850246
"107","radial",9,2,0.313419913419913,0.0985518222079815
"108","sigmoid",9,2,0.24004329004329,0.064697738504646
"109","linear",10,2,0.225324675324675,0.128692148365184
"110","polynomial",10,2,0.443073593073593,0.112909906810724
"111","radial",10,2,0.313419913419913,0.0985518222079815
"112","sigmoid",10,2,0.2495670995671,0.0469812772357629
"113","linear",1e-04,3,0.87987012987013,0.116554193090044
"114","polynomial",1e-04,3,0.925974025974026,0.0237284903793298
"115","radial",1e-04,3,0.893939393939394,0.0958483226863816
"116","sigmoid",1e-04,3,0.87987012987013,0.116554193090044
"117","linear",0.001,3,0.87987012987013,0.116554193090044
"118","polynomial",0.001,3,0.925974025974026,0.0237284903793298
"119","radial",0.001,3,0.893939393939394,0.0958483226863816
"120","sigmoid",0.001,3,0.87987012987013,0.116554193090044
"121","linear",0.01,3,0.2495670995671,0.0598719540271
"122","polynomial",0.01,3,0.925974025974026,0.0237284903793298
"123","radial",0.01,3,0.893939393939394,0.0958483226863816
"124","sigmoid",0.01,3,0.87987012987013,0.116554193090044
"125","linear",0.1,3,0.216450216450216,0.073003609325489
"126","polynomial",0.1,3,0.907575757575758,0.0300104406828224
"127","radial",0.1,3,0.782034632034632,0.143486341581228
"128","sigmoid",0.1,3,0.291774891774892,0.087868006172129
"129","linear",1,3,0.216233766233766,0.108807715138913
"130","polynomial",1,3,0.392640692640693,0.100271469671713
"131","radial",1,3,0.30952380952381,0.0685463658096024
"132","sigmoid",1,3,0.216450216450216,0.107810654224259
"133","linear",2,3,0.220562770562771,0.124137758360926
"134","polynomial",2,3,0.369047619047619,0.098332104884524
"135","radial",2,3,0.304545454545455,0.0771435778304471
"136","sigmoid",2,3,0.193290043290043,0.0864901529066206
"137","linear",3,3,0.220779220779221,0.118295318555092
"138","polynomial",3,3,0.369480519480519,0.0871795624373603
"139","radial",3,3,0.322727272727273,0.0839824980286839
"140","sigmoid",3,3,0.216666666666667,0.0824877610435611
"141","linear",4,3,0.216233766233766,0.122690980243713
"142","polynomial",4,3,0.350649350649351,0.0995095720209867
"143","radial",4,3,0.313636363636364,0.0783248768246176
"144","sigmoid",4,3,0.221212121212121,0.0745753979344019
"145","linear",5,3,0.216233766233766,0.122690980243713
"146","polynomial",5,3,0.346103896103896,0.10216027294138
"147","radial",5,3,0.304329004329004,0.0794385072892648
"148","sigmoid",5,3,0.216233766233766,0.0936531837998789
"149","linear",6,3,0.220779220779221,0.118295318555092
"150","polynomial",6,3,0.341558441558442,0.0953353388715044
"151","radial",6,3,0.318181818181818,0.0906854942822143
"152","sigmoid",6,3,0.216233766233766,0.0807465365512652
"153","linear",7,3,0.220562770562771,0.131326807400349
"154","polynomial",7,3,0.346320346320346,0.0960653216571038
"155","radial",7,3,0.313419913419913,0.0985518222079815
"156","sigmoid",7,3,0.225541125541126,0.0923904141270549
"157","linear",8,3,0.220562770562771,0.134777609370083
"158","polynomial",8,3,0.341341991341991,0.106313321052717
"159","radial",8,3,0.313419913419913,0.0985518222079815
"160","sigmoid",8,3,0.24004329004329,0.0484690630869094
"161","linear",9,3,0.225108225108225,0.142393610072082
"162","polynomial",9,3,0.332251082251082,0.108067465755275
"163","radial",9,3,0.313419913419913,0.0985518222079815
"164","sigmoid",9,3,0.24004329004329,0.064697738504646
"165","linear",10,3,0.225324675324675,0.128692148365184
"166","polynomial",10,3,0.337012987012987,0.104446045330433
"167","radial",10,3,0.313419913419913,0.0985518222079815
"168","sigmoid",10,3,0.2495670995671,0.0469812772357629
"169","linear",1e-04,4,0.87987012987013,0.116554193090044
"170","polynomial",1e-04,4,0.921428571428571,0.0306625074007782
"171","radial",1e-04,4,0.893939393939394,0.0958483226863816
"172","sigmoid",1e-04,4,0.87987012987013,0.116554193090044
"173","linear",0.001,4,0.87987012987013,0.116554193090044
"174","polynomial",0.001,4,0.921428571428571,0.0306625074007782
"175","radial",0.001,4,0.893939393939394,0.0958483226863816
"176","sigmoid",0.001,4,0.87987012987013,0.116554193090044
"177","linear",0.01,4,0.2495670995671,0.0598719540271
"178","polynomial",0.01,4,0.921428571428571,0.0306625074007782
"179","radial",0.01,4,0.893939393939394,0.0958483226863816
"180","sigmoid",0.01,4,0.87987012987013,0.116554193090044
"181","linear",0.1,4,0.216450216450216,0.073003609325489
"182","polynomial",0.1,4,0.912121212121212,0.0335043680881201
"183","radial",0.1,4,0.782034632034632,0.143486341581228
"184","sigmoid",0.1,4,0.291774891774892,0.087868006172129
"185","linear",1,4,0.216233766233766,0.108807715138913
"186","polynomial",1,4,0.616450216450216,0.144321066304332
"187","radial",1,4,0.30952380952381,0.0685463658096024
"188","sigmoid",1,4,0.216450216450216,0.107810654224259
"189","linear",2,4,0.220562770562771,0.124137758360926
"190","polynomial",2,4,0.536796536796537,0.125975761530816
"191","radial",2,4,0.304545454545455,0.0771435778304471
"192","sigmoid",2,4,0.193290043290043,0.0864901529066206
"193","linear",3,4,0.220779220779221,0.118295318555092
"194","polynomial",3,4,0.513852813852814,0.127622852491506
"195","radial",3,4,0.322727272727273,0.0839824980286839
"196","sigmoid",3,4,0.216666666666667,0.0824877610435611
"197","linear",4,4,0.216233766233766,0.122690980243713
"198","polynomial",4,4,0.495021645021645,0.118101756459253
"199","radial",4,4,0.313636363636364,0.0783248768246176
"200","sigmoid",4,4,0.221212121212121,0.0745753979344019
"201","linear",5,4,0.216233766233766,0.122690980243713
"202","polynomial",5,4,0.494805194805195,0.132037391844614
"203","radial",5,4,0.304329004329004,0.0794385072892648
"204","sigmoid",5,4,0.216233766233766,0.0936531837998789
"205","linear",6,4,0.220779220779221,0.118295318555092
"206","polynomial",6,4,0.48961038961039,0.152059764697703
"207","radial",6,4,0.318181818181818,0.0906854942822143
"208","sigmoid",6,4,0.216233766233766,0.0807465365512652
"209","linear",7,4,0.220562770562771,0.131326807400349
"210","polynomial",7,4,0.48030303030303,0.156691785265315
"211","radial",7,4,0.313419913419913,0.0985518222079815
"212","sigmoid",7,4,0.225541125541126,0.0923904141270549
"213","linear",8,4,0.220562770562771,0.134777609370083
"214","polynomial",8,4,0.485064935064935,0.152393694261534
"215","radial",8,4,0.313419913419913,0.0985518222079815
"216","sigmoid",8,4,0.24004329004329,0.0484690630869094
"217","linear",9,4,0.225108225108225,0.142393610072082
"218","polynomial",9,4,0.484848484848485,0.159427172252791
"219","radial",9,4,0.313419913419913,0.0985518222079815
"220","sigmoid",9,4,0.24004329004329,0.064697738504646
"221","linear",10,4,0.225324675324675,0.128692148365184
"222","polynomial",10,4,0.494155844155844,0.154573173585953
"223","radial",10,4,0.313419913419913,0.0985518222079815
"224","sigmoid",10,4,0.2495670995671,0.0469812772357629
"225","linear",1e-04,5,0.87987012987013,0.116554193090044
"226","polynomial",1e-04,5,0.921428571428571,0.0306625074007782
"227","radial",1e-04,5,0.893939393939394,0.0958483226863816
"228","sigmoid",1e-04,5,0.87987012987013,0.116554193090044
"229","linear",0.001,5,0.87987012987013,0.116554193090044
"230","polynomial",0.001,5,0.921428571428571,0.0306625074007782
"231","radial",0.001,5,0.893939393939394,0.0958483226863816
"232","sigmoid",0.001,5,0.87987012987013,0.116554193090044
"233","linear",0.01,5,0.2495670995671,0.0598719540271
"234","polynomial",0.01,5,0.921428571428571,0.0306625074007782
"235","radial",0.01,5,0.893939393939394,0.0958483226863816
"236","sigmoid",0.01,5,0.87987012987013,0.116554193090044
"237","linear",0.1,5,0.216450216450216,0.073003609325489
"238","polynomial",0.1,5,0.888961038961039,0.0497055875733644
"239","radial",0.1,5,0.782034632034632,0.143486341581228
"240","sigmoid",0.1,5,0.291774891774892,0.087868006172129
"241","linear",1,5,0.216233766233766,0.108807715138913
"242","polynomial",1,5,0.686580086580087,0.134910217128338
"243","radial",1,5,0.30952380952381,0.0685463658096024
"244","sigmoid",1,5,0.216450216450216,0.107810654224259
"245","linear",2,5,0.220562770562771,0.124137758360926
"246","polynomial",2,5,0.625757575757576,0.148444981795708
"247","radial",2,5,0.304545454545455,0.0771435778304471
"248","sigmoid",2,5,0.193290043290043,0.0864901529066206
"249","linear",3,5,0.220779220779221,0.118295318555092
"250","polynomial",3,5,0.56969696969697,0.144303030274171
"251","radial",3,5,0.322727272727273,0.0839824980286839
"252","sigmoid",3,5,0.216666666666667,0.0824877610435611
"253","linear",4,5,0.216233766233766,0.122690980243713
"254","polynomial",4,5,0.518398268398268,0.138881861106656
"255","radial",4,5,0.313636363636364,0.0783248768246176
"256","sigmoid",4,5,0.221212121212121,0.0745753979344019
"257","linear",5,5,0.216233766233766,0.122690980243713
"258","polynomial",5,5,0.5,0.125188172135554
"259","radial",5,5,0.304329004329004,0.0794385072892648
"260","sigmoid",5,5,0.216233766233766,0.0936531837998789
"261","linear",6,5,0.220779220779221,0.118295318555092
"262","polynomial",6,5,0.467532467532468,0.118874770666059
"263","radial",6,5,0.318181818181818,0.0906854942822143
"264","sigmoid",6,5,0.216233766233766,0.0807465365512652
"265","linear",7,5,0.220562770562771,0.131326807400349
"266","polynomial",7,5,0.462770562770563,0.11293641367537
"267","radial",7,5,0.313419913419913,0.0985518222079815
"268","sigmoid",7,5,0.225541125541126,0.0923904141270549
"269","linear",8,5,0.220562770562771,0.134777609370083
"270","polynomial",8,5,0.458008658008658,0.135623713096069
"271","radial",8,5,0.313419913419913,0.0985518222079815
"272","sigmoid",8,5,0.24004329004329,0.0484690630869094
"273","linear",9,5,0.225108225108225,0.142393610072082
"274","polynomial",9,5,0.458008658008658,0.142233395674354
"275","radial",9,5,0.313419913419913,0.0985518222079815
"276","sigmoid",9,5,0.24004329004329,0.064697738504646
"277","linear",10,5,0.225324675324675,0.128692148365184
"278","polynomial",10,5,0.453246753246753,0.145850973784517
"279","radial",10,5,0.313419913419913,0.0985518222079815
"280","sigmoid",10,5,0.2495670995671,0.0469812772357629
