"","kernel","cost","degree","error","dispersion"
"1","linear",1e-04,1,0.945238095238095,0.0558410795935593
"2","polynomial",1e-04,1,0.945238095238095,0.0558410795935593
"3","radial",1e-04,1,0.94978354978355,0.0500057779186881
"4","sigmoid",1e-04,1,0.945238095238095,0.0515663586789007
"5","linear",0.001,1,0.945238095238095,0.0558410795935593
"6","polynomial",0.001,1,0.945238095238095,0.0558410795935593
"7","radial",0.001,1,0.94978354978355,0.0500057779186881
"8","sigmoid",0.001,1,0.945238095238095,0.0515663586789007
"9","linear",0.01,1,0.930952380952381,0.0386585715268142
"10","polynomial",0.01,1,0.945238095238095,0.0558410795935593
"11","radial",0.01,1,0.94978354978355,0.0500057779186881
"12","sigmoid",0.01,1,0.945238095238095,0.0515663586789007
"13","linear",0.1,1,0.871212121212121,0.0624525456547771
"14","polynomial",0.1,1,0.930952380952381,0.0386585715268142
"15","radial",0.1,1,0.94978354978355,0.0500057779186881
"16","sigmoid",0.1,1,0.940692640692641,0.0526468155473016
"17","linear",1,1,0.88008658008658,0.0432804222112957
"18","polynomial",1,1,0.871212121212121,0.0624525456547771
"19","radial",1,1,0.88030303030303,0.0741079940202747
"20","sigmoid",1,1,0.851948051948052,0.0754318566477341
"21","linear",2,1,0.856493506493507,0.0713888414001324
"22","polynomial",2,1,0.857359307359307,0.0721388880220518
"23","radial",2,1,0.852380952380952,0.0461060978140895
"24","sigmoid",2,1,0.860606060606061,0.0628757970774746
"25","linear",3,1,0.838311688311688,0.0666367535946524
"26","polynomial",3,1,0.866666666666667,0.0684642979852675
"27","radial",3,1,0.842857142857143,0.0382762762889128
"28","sigmoid",3,1,0.837012987012987,0.0784550343228761
"29","linear",4,1,0.833766233766234,0.0728665721999421
"30","polynomial",4,1,0.866450216450216,0.0723809437505605
"31","radial",4,1,0.824891774891775,0.0498143870028411
"32","sigmoid",4,1,0.819047619047619,0.0470383058007217
"33","linear",5,1,0.824675324675325,0.0910349800611111
"34","polynomial",5,1,0.884632034632035,0.0540504694348585
"35","radial",5,1,0.815800865800866,0.0542177908869382
"36","sigmoid",5,1,0.814502164502165,0.0620494815248078
"37","linear",6,1,0.829004329004329,0.0946679334306304
"38","polynomial",6,1,0.88008658008658,0.0577939642279474
"39","radial",6,1,0.787878787878788,0.0668858798547001
"40","sigmoid",6,1,0.828571428571429,0.0689537299631354
"41","linear",7,1,0.833766233766234,0.0845345174189935
"42","polynomial",7,1,0.870779220779221,0.0559156076854418
"43","radial",7,1,0.792207792207792,0.0645733068838801
"44","sigmoid",7,1,0.814718614718615,0.0647841761418231
"45","linear",8,1,0.838311688311688,0.0848249837387166
"46","polynomial",8,1,0.870779220779221,0.0559156076854418
"47","radial",8,1,0.787445887445887,0.0686814117419548
"48","sigmoid",8,1,0.81017316017316,0.0667694247506499
"49","linear",9,1,0.828787878787879,0.087771089141274
"50","polynomial",9,1,0.88008658008658,0.0432804222112957
"51","radial",9,1,0.792207792207792,0.0645733068838801
"52","sigmoid",9,1,0.819264069264069,0.0706205112600669
"53","linear",10,1,0.833549783549784,0.0909689099786399
"54","polynomial",10,1,0.88008658008658,0.0432804222112957
"55","radial",10,1,0.801298701298701,0.0567908612938792
"56","sigmoid",10,1,0.823809523809524,0.0781102425890094
"57","linear",1e-04,2,0.945238095238095,0.0558410795935593
"58","polynomial",1e-04,2,0.94978354978355,0.045182308512071
"59","radial",1e-04,2,0.94978354978355,0.0500057779186881
"60","sigmoid",1e-04,2,0.945238095238095,0.0515663586789007
"61","linear",0.001,2,0.945238095238095,0.0558410795935593
"62","polynomial",0.001,2,0.94978354978355,0.045182308512071
"63","radial",0.001,2,0.94978354978355,0.0500057779186881
"64","sigmoid",0.001,2,0.945238095238095,0.0515663586789007
"65","linear",0.01,2,0.930952380952381,0.0386585715268142
"66","polynomial",0.01,2,0.94978354978355,0.045182308512071
"67","radial",0.01,2,0.94978354978355,0.0500057779186881
"68","sigmoid",0.01,2,0.945238095238095,0.0515663586789007
"69","linear",0.1,2,0.871212121212121,0.0624525456547771
"70","polynomial",0.1,2,0.936147186147186,0.0649290521506699
"71","radial",0.1,2,0.94978354978355,0.0500057779186881
"72","sigmoid",0.1,2,0.940692640692641,0.0526468155473016
"73","linear",1,2,0.88008658008658,0.0432804222112957
"74","polynomial",1,2,0.935930735930736,0.0486914104653432
"75","radial",1,2,0.88030303030303,0.0741079940202747
"76","sigmoid",1,2,0.851948051948052,0.0754318566477341
"77","linear",2,2,0.856493506493507,0.0713888414001324
"78","polynomial",2,2,0.913203463203463,0.0722398431422
"79","radial",2,2,0.852380952380952,0.0461060978140895
"80","sigmoid",2,2,0.860606060606061,0.0628757970774746
"81","linear",3,2,0.838311688311688,0.0666367535946524
"82","polynomial",3,2,0.908225108225108,0.0563251357871303
"83","radial",3,2,0.842857142857143,0.0382762762889128
"84","sigmoid",3,2,0.837012987012987,0.0784550343228761
